"id","label","rank","x","y","cost","target"
50643,"Byblos",80,35.640,34.120,0.0,0
50091,"Cabilonnum",70,4.839,46.782,0.0,0
50092,"Caeciliana",70,38.121,36.661,0.0,0
50093,"Caesaraugusta",90,-0.872,41.646,0.0,0
50095,"Caesarea (Cappadocia)",90,35.502,38.721,0.0,0
50094,"Caesarea Maritima",80,34.898,32.508,0.0,0
50025,"Caesarea (Phrygia)",90,31.180,38.301,0.0,0
50096,"Caesarodunum",80,0.701,47.383,0.0,0
50097,"Calagurris",80,-1.966,42.303,0.0,0
50098,"Calleva",80,-1.075,51.375,0.0,0
50513,"Camarina",80,14.450,36.850,0.0,0
50099,"Cambete",60,7.496,47.666,0.0,0
50100,"Cambodunum",80,10.326,47.726,0.0,0
50101,"Camulodunum",80,0.897,51.891,0.0,0
50102,"Canusium",80,16.065,41.221,0.0,0
50103,"Capsa",80,8.789,34.412,0.0,0
50104,"Capua",90,14.242,41.085,0.0,0
50498,"Caput Vada",60,11.160,35.230,0.0,0
50486,"Caralis",80,9.110,39.215,0.0,0
50105,"Carnuntum",80,16.916,48.121,0.0,0
50106,"Carrhae",80,39.023,36.875,0.0,0
50107,"Carthago",100,10.312,36.846,0.0,0
50108,"Carthago Nova",90,-0.992,37.605,0.0,0
50109,"Casinum",90,13.830,41.492,0.0,0
50325,"Castra Regina",80,12.102,49.011,0.0,0
50110,"Castrum Truentinum",80,13.905,42.897,0.0,0
50111,"Castulo",80,-3.625,38.037,0.0,0
50112,"Catabathmus Maior",80,25.159,31.562,0.0,0
50113,"Caudium",80,14.640,41.063,0.0,0
50614,"Caunus",80,28.630,36.830,0.0,0
50114,"Celeia",80,15.264,46.234,0.0,0
50115,"Cenabum",80,1.915,47.909,0.0,0
50779,"Ceos",70,24.333,37.617,0.0,0
50515,"Cephalae Pr.",60,15.210,32.370,0.0,0
50116,"Cetium",70,15.622,48.204,0.0,0
50117,"Chalcedon",80,29.030,40.993,0.0,0
50555,"Chalcis",90,23.590,38.460,0.0,0
50577,"Chersonasos",80,25.390,35.320,0.0,0
50627,"Chersonesos",90,33.493,44.612,0.0,0
50551,"Chersonesos Akra",60,23.120,32.610,0.0,0
50588,"Chios",80,26.140,38.370,0.0,0
50118,"Cibalae",80,18.800,45.275,0.0,0
50436,"Cibyra",80,29.519,37.158,0.0,0
50632,"Cinolis",60,34.164,41.963,0.0,0
50119,"Circesium",90,40.449,35.172,0.0,0
50120,"Cirta",90,6.593,36.362,0.0,0
50121,"Civitas Namnetum",70,-1.558,47.214,0.0,0
50029,"Claudia Aprensis",90,27.066,40.976,0.0,0
50076,"Claudiopolis",80,31.600,40.740,0.0,0
50495,"Clipea",70,11.110,36.840,0.0,0
50122,"Clusium",90,11.947,43.016,0.0,0
50123,"Clysma",80,32.568,29.958,0.0,0
50606,"Cnidus",80,27.370,36.690,0.0,0
50476,"Colubraria",60,0.685,39.898,0.0,0
50126,"Comana",80,36.330,38.337,0.0,0
50127,"Comum",80,9.085,45.811,0.0,0
50460,"Condate",70,-1.690,48.129,0.0,0
50468,"Confluentes",70,7.585,50.357,0.0,0
50128,"Conimbriga",80,-8.499,40.085,0.0,0
50129,"Constantinopolis",100,28.985,41.018,0.0,0
50130,"Coptos",100,32.805,26.006,0.0,0
50537,"Corcyra",80,19.920,39.590,0.0,0
50131,"Corduba",100,-4.780,37.884,0.0,0
50132,"Corfinium",80,13.841,42.123,0.0,0
50549,"Corinthus",100,22.886,37.912,0.0,0
50133,"Coriosopitum",70,-2.003,54.976,0.0,0
50780,"Corseae",70,26.500,37.566,0.0,0
50631,"Corycus",80,34.150,36.460,0.0,0
50134,"Cosa",80,11.288,42.406,0.0,0
50499,"Cossyra",70,11.940,36.830,0.0,0
50135,"Cuicul",80,5.727,36.322,0.0,0
50136,"Cumae",80,14.045,40.853,0.0,0
50137,"Curia",70,9.530,46.848,0.0,0
50138,"Cyrene",90,21.867,32.824,0.0,0
50139,"Cyrrhus",80,36.915,36.781,0.0,0
50781,"Cythnos",70,24.416,37.383,0.0,0
50612,"Cyzicus",90,27.892,40.381,0.0,0
50140,"Damascus",90,36.309,33.511,0.0,0
50141,"Darnis",80,22.641,32.768,0.0,0
50142,"Decetia",70,3.463,46.850,0.0,0
50573,"Delos",70,25.270,37.400,0.0,0
50143,"Delphi",80,22.497,38.481,0.0,0
50717,"Demetrias",90,22.917,39.303,0.0,0
50144,"Dertona",80,8.864,44.896,0.0,0
50145,"Dertosa",80,0.520,40.810,0.0,0
